last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 11:15:45,N,AAPL,298.37,2.0,298.4,2.0,-1.0,0.0,2020-01-03 11:15:45.001788,298.38,298.4,0,2020-01-03
2020-01-03 11:15:50,N,AAPL,298.38,2.0,298.4,3.0,1.0,0.0,2020-01-03 11:15:50.576684,298.41,298.43,1,2020-01-03
2020-01-03 11:15:55,Z,AAPL,298.41,1.0,298.43,1.0,0.0,-1.0,2020-01-03 11:15:56.218469,298.44,298.47,1,2020-01-03
2020-01-03 11:16:00,Z,AAPL,298.44,1.0,298.47,6.0,-6.0,0.0,2020-01-03 11:16:00.023476,298.36,298.39,-1,2020-01-03
2020-01-03 11:16:05,K,AAPL,298.36,2.0,298.39,1.0,0.0,0.0,2020-01-03 11:16:05.324255,298.41,298.45,1,2020-01-03
2020-01-03 11:16:10,N,AAPL,298.41,4.0,298.45,2.0,3.0,-2.0,2020-01-03 11:16:10.063579,298.43,298.44,0,2020-01-03
2020-01-03 11:16:15,Q,AAPL,298.43,1.0,298.44,2.0,0.0,0.0,2020-01-03 11:16:16.258224,298.47,298.48,1,2020-01-03
2020-01-03 11:16:20,Q,AAPL,298.47,3.0,298.48,1.0,1.0,0.0,2020-01-03 11:16:20.612547,298.45,298.46,-1,2020-01-03
2020-01-03 11:16:25,Z,AAPL,298.45,1.0,298.46,1.0,-6.0,-1.0,2020-01-03 11:16:25.122513,298.49,298.52,1,2020-01-03
2020-01-03 11:16:30,Z,AAPL,298.49,7.0,298.52,12.0,0.0,0.0,2020-01-03 11:16:30.302287,298.51,298.54,0,2020-01-03
2020-01-03 11:16:35,B,AAPL,298.51,3.0,298.54,2.0,0.0,0.0,2020-01-03 11:16:35.124934,298.51,298.54,0,2020-01-03
2020-01-03 11:16:40,Z,AAPL,298.51,1.0,298.54,2.0,0.0,-1.0,2020-01-03 11:16:40.080532,298.53,298.54,0,2020-01-03
2020-01-03 11:16:45,Z,AAPL,298.53,2.0,298.54,1.0,-1.0,0.0,2020-01-03 11:16:45.361392,298.52,298.55,0,2020-01-03
2020-01-03 11:16:50,N,AAPL,298.52,1.0,298.55,1.0,-1.0,0.0,2020-01-03 11:16:50.287161,298.53,298.55,0,2020-01-03
2020-01-03 11:16:55,P,AAPL,298.53,2.0,298.55,1.0,0.0,0.0,2020-01-03 11:16:55.154102,298.52,298.55,0,2020-01-03
